metric,eligible_state_clusters,mean_base_to_donor_ncte,mean_donor_to_base_ncte,mean_symmetric_ncte,symmetric_ci95_low,symmetric_ci95_high,mean_directional_asymmetry,asymmetry_ci95_low,asymmetry_ci95_high,positive_state_fraction,p_two_sided_sign_flip,q_bh_within_metric_family,sign_flip_exact,flow_step,layer,action_position
all,15,0.00047574307279676307,0.0007218125531083178,0.0005987778129525403,0.0004637363965604304,0.0007389290734763905,0.0005688188303896017,0.00037723761973058504,0.0007795521387673274,1.0,6.103515625e-05,9.765625e-05,True,0,14,3
all,15,0.0005365128868613285,0.0009992836503191517,0.0007678982685902399,0.0005766676274224277,0.0009730227126781523,0.0005643721296213533,0.00040795216522379455,0.0007346353738978487,1.0,6.103515625e-05,9.765625e-05,True,0,14,4
all,15,0.000440562882303845,0.0011460465957263053,0.000793304739015075,0.0006320451933741255,0.0009674707902986765,0.0007119029285198069,0.00042795488599002936,0.001014378188631729,1.0,6.103515625e-05,9.765625e-05,True,0,14,5
all,15,0.0005690767836396862,0.0012538500779458144,0.0009114634307927505,0.0007259247178678175,0.0011087270295321529,0.0006847732943061285,0.0004613108114844209,0.0009257440229496722,1.0,6.103515625e-05,9.765625e-05,True,0,14,6
all,15,0.0006617237142707371,0.001214954264832188,0.0009383389895514626,0.0008105485085762916,0.0010743731765475637,0.0006628237993648577,0.0003828769983687824,0.0009672553049649392,1.0,6.103515625e-05,9.765625e-05,True,0,14,7
all,15,0.0007948187333414919,0.0011273561729889829,0.0009610874531652373,0.0008181479954128195,0.0011107247735076436,0.0007307537227620302,0.00048536634829568655,0.0009899020304256208,1.0,6.103515625e-05,9.765625e-05,True,0,14,8
all,15,0.0006322080841027719,0.0007677907645598816,0.0006999994243313268,0.00055683032639254,0.0008512984925945357,0.0005887647396822497,0.00038080701334886676,0.0008046112657200583,1.0,6.103515625e-05,9.765625e-05,True,0,14,9
all,15,6.56272713162194e-05,9.612776750447219e-05,8.087751941034578e-05,-5.339860987880527e-06,0.0001702379506112349,0.0002458310160815422,0.0001779704603081568,0.00031810498599027753,0.6666666666666666,0.10137939453125,0.1267242431640625,True,0,17,0
all,15,0.00018224709677192586,0.00029586057208035065,0.00023905383442613827,0.00015058717657881257,0.00033799974184496975,0.0003195529114843238,0.00019873638401793776,0.0004615721166150458,1.0,6.103515625e-05,9.765625e-05,True,0,17,1
all,15,0.000506576779758166,0.000703910079801561,0.0006052434297798635,0.0004775108112939926,0.0007499227466182945,0.0006384501471273868,0.00044522297967257115,0.0008419577958511598,1.0,6.103515625e-05,9.765625e-05,True,0,17,2
all,15,0.0008553075995844742,0.0009434323805786707,0.0008993699900815725,0.0007741651544931246,0.001037687154374378,0.0008389396038557255,0.0006365204847792848,0.00103138942322609,1.0,6.103515625e-05,9.765625e-05,True,0,17,3
all,15,0.000912328711144843,0.001065375651330389,0.0009888521812376162,0.0008079862889745328,0.0011747221595379371,0.0007665580307275599,0.0005322377458223102,0.0010030831416409326,1.0,6.103515625e-05,9.765625e-05,True,0,17,4
all,15,0.0009144495201389657,0.0012799878158619993,0.0010972186680004825,0.000917634114051376,0.001280434975587226,0.0005457796798558112,0.00035038700407330893,0.0007584396229423804,1.0,6.103515625e-05,9.765625e-05,True,0,17,5
all,15,0.0010093293316518145,0.0012119007040859906,0.0011106150178689024,0.0009208346902750225,0.001315460333088016,0.0005706742750057309,0.0003626137783866077,0.0007867581235500676,1.0,6.103515625e-05,9.765625e-05,True,0,17,6
all,15,0.0009510757476993566,0.001031040110645542,0.0009910579291724493,0.0008757651529502469,0.0011081074572380518,0.00036258268100862896,0.00021809664876939292,0.0005238304246589053,1.0,6.103515625e-05,9.765625e-05,True,0,17,7
all,15,0.001026899029532405,0.0008997721490446329,0.000963335589288519,0.0008191713706138628,0.001106767933219695,0.0004277736260885462,0.00031546248443002086,0.0005409876699132868,1.0,6.103515625e-05,9.765625e-05,True,0,17,8
all,15,0.000996825512153335,0.000878635397320877,0.0009377304547371063,0.0008032546206931019,0.0010540829357210308,0.00039141798990158846,0.00021233428103386713,0.0005879126948417911,1.0,6.103515625e-05,9.765625e-05,True,0,17,9
all,15,-0.0005017428342306824,-0.0007550275946703151,-0.0006283852144504987,-0.0010038859408503281,-0.0002917511143437761,0.00028243422649254827,0.00012558369868793132,0.0004900933990976397,0.06666666666666667,0.00067138671875,0.0009677646396396396,True,7,0,0
all,15,-0.0009473005159055851,-0.0017643748938804692,-0.0013558377048930271,-0.0018768749553103232,-0.0008696675881738697,0.0008343617316140838,0.0005731135886496968,0.0011397112297776607,0.0,6.103515625e-05,9.765625e-05,True,7,0,1
all,15,-0.00233373675122856,-0.0036365834920262527,-0.002985160121627407,-0.00353268191602607,-0.002433655651986425,0.0014293845500890712,0.0009836017709905999,0.001925254341944651,0.0,6.103515625e-05,9.765625e-05,True,7,0,2
all,15,-0.003963833717006196,-0.006170943887890528,-0.005067388802448363,-0.005587855946570224,-0.004528187120935682,0.0022697473748640646,0.0015432193082711855,0.003041914126650461,0.0,6.103515625e-05,9.765625e-05,True,7,0,3
all,15,-0.005611292618386125,-0.007716244298388728,-0.006663768458387426,-0.007181610776629681,-0.006163510623937616,0.0022181694545839576,0.0016765735617855927,0.0028084416006563034,0.0,6.103515625e-05,9.765625e-05,True,7,0,4
all,15,-0.0071657636264413176,-0.009214142137494817,-0.008189952881968067,-0.008585650797860419,-0.007800532466470494,0.002187566028035927,0.001505322707213406,0.0030018381185940757,0.0,6.103515625e-05,9.765625e-05,True,7,0,5
all,15,-0.008781165816327803,-0.00881081810351225,-0.008795991959920028,-0.009184661402269178,-0.008384096408477107,0.001613138413145359,0.0010438352440959458,0.0022072102699508492,0.0,6.103515625e-05,9.765625e-05,True,7,0,6
all,15,-0.008890449873480494,-0.009082113444455048,-0.008986281658967771,-0.00943428579829206,-0.008547962738242381,0.0016410546391526484,0.001101544440963591,0.0021910977092235748,0.0,6.103515625e-05,9.765625e-05,True,7,0,7
all,15,-0.009864942425079777,-0.008547877687809841,-0.00920641005644481,-0.00972480135058623,-0.00874661188800382,0.0018573948423267796,0.0011701236127000115,0.0026489548548583367,0.0,6.103515625e-05,9.765625e-05,True,7,0,8
all,15,-0.009294072867449658,-0.007727219478073837,-0.008510646172761748,-0.00895138204163195,-0.008074806447714144,0.002128836480219232,0.0012024028568221811,0.003118966323343165,0.0,6.103515625e-05,9.765625e-05,True,7,0,9
all,15,-0.0003294726882291505,-0.00041591293496796476,-0.0003726928115985576,-0.000647247740529125,-0.0001511762302791075,0.0003358772238520877,0.00020867710712344292,0.00048012668447183863,0.06666666666666667,0.00018310546875,0.00027638561320754716,True,7,8,0
all,15,-0.0008201584138731817,-0.0011541330822228402,-0.000987145748048011,-0.0014474888913591883,-0.0005914763966907964,0.0005619073715237408,0.00032498478758382704,0.0008461152472263861,0.0,6.103515625e-05,9.765625e-05,True,7,8,1
all,15,-0.0019690454007421547,-0.002703744374191624,-0.002336394887466889,-0.002957709365226191,-0.0017148809186527583,0.0009043875217619895,0.0005168543981542867,0.001358484027126469,0.0,6.103515625e-05,9.765625e-05,True,7,8,2
all,15,-0.004028890971573739,-0.005381477014032162,-0.004705183992802951,-0.005246183016828981,-0.004119430362741884,0.0013834192713880903,0.0009568186749150517,0.0018391736301955825,0.0,6.103515625e-05,9.765625e-05,True,7,8,3
